entities,group,test,framework,unit,timestamp,median,ci_lower,ci_upper,rounds
100,tag,add,lovetoys-batch,kb,2026-03-15 12:55:55Z,35.1563,35.1563,35.1563,455
100,tag,add,lovetoys-nobatch,kb,2026-03-15 12:56:08Z,26.5625,26.5625,26.5625,100
100,tag,add,nata,kb,2026-03-15 12:56:22Z,0.0001,0.0001,0.0001,100
100,tag,add,tinyecs,kb,2026-03-15 12:56:25Z,1.1328,1.1328,1.1328,170
100,tag,remove,concord,s,2026-03-15 12:56:29Z,0.001096,0.00108825,0.001106542,157
100,tag,remove,concord-no-serialize,s,2026-03-15 12:56:38Z,0.001035625,0.000933125,0.001055542,191
100,tag,remove,ecs-lua,s,2026-03-15 12:56:48Z,0.000039417,0.00003925,0.000039542,856
100,tag,remove,evolved-batch,s,2026-03-15 12:57:01Z,9.17e-7,9.17e-7,9.17e-7,1000
100,tag,remove,evolved-nobatch,s,2026-03-15 12:57:04Z,4.625e-6,4.625e-6,4.625e-6,1000
100,tag,remove,lovetoys,s,2026-03-15 12:57:07Z,0.000030417,0.000030375,0.000030458,1000
100,tag,remove,nata,s,2026-03-15 12:57:16Z,1.917e-6,1.917e-6,1.917e-6,1000
100,tag,remove,tinyecs,s,2026-03-15 12:57:20Z,1.542e-6,1.542e-6,1.542e-6,1000
100,tag,remove,concord,kb,2026-03-15 12:57:39Z,3.9609,3.9609,3.9609,404
100,tag,remove,concord-no-serialize,kb,2026-03-15 12:58:00Z,3.9609,3.9609,3.9609,100
100,tag,remove,ecs-lua,kb,2026-03-15 12:58:17Z,23.4063,23.4063,23.4063,129
100,tag,remove,evolved-batch,kb,2026-03-15 12:58:41Z,0.3672,0.3672,0.3672,100
100,tag,remove,evolved-nobatch,kb,2026-03-15 12:58:46Z,0.0001,0.0001,0.0001,788
100,tag,remove,lovetoys,kb,2026-03-15 12:58:53Z,15.625,15.625,15.625,441
100,tag,remove,nata,kb,2026-03-15 12:59:07Z,0.0001,0.0001,0.0001,100
100,tag,remove,tinyecs,kb,2026-03-15 12:59:11Z,1.1328,1.1328,1.1328,176
100,system,throughput,concord,s,2026-03-15 12:59:14Z,1.042e-6,1e-6,1.042e-6,301
100,system,throughput,ecs-lua,s,2026-03-15 12:59:19Z,5.458e-6,5.458e-6,5.458e-6,1000
