entities,test,framework,unit,timestamp,median,mean,stddev,min,max,rounds
100,remove_components,concord,kb,2024-02-03 22:46:13Z,3.9609,5.5069,2.7649,3.9609,21.5508,2618
100,system_update,echoes,s,2024-02-03 22:46:14Z,0.000000417,0.000000286,0.000000215,0.000000042,0.000034375,1000000
100,system_update,echoes,kb,2024-02-03 22:46:15Z,0.0938,0.0517,0.0466,0.0001,0.5469,1000000
100,system_update,lovetoys,s,2024-02-03 22:46:16Z,0.000000667,0.000000671,0.000000188,0.000000542,0.000027708,1000000
100,system_update,lovetoys,kb,2024-02-03 22:46:17Z,0.0001,0.0001,0,0.0001,0.0001,1000000
100,system_update,tinyecs,s,2024-02-03 22:46:18Z,0.00000025,0.000000242,0.000000137,0.000000125,0.000019042,1000000
100,system_update,tinyecs,kb,2024-02-03 22:46:18Z,0.0001,0.0001,0.0005,0.0001,0.4531,1000000
100,system_update,ecs-lua,s,2024-02-03 22:46:19Z,0.000002917,0.000002923,0.000002052,0.000000125,0.000111167,321224
100,system_update,ecs-lua,kb,2024-02-03 22:46:21Z,9.8828,9.7223,6.9935,0.2109,19.3086,314415
100,system_update,nata,s,2024-02-03 22:46:23Z,0.000000292,0.000000299,0.000000204,0.000000167,0.000029,798349
100,system_update,nata,kb,2024-02-03 22:46:24Z,0.1172,0.1172,0,0.1172,0.1172,783792
