entities,group,test,framework,unit,timestamp,median,ci_lower,ci_upper,rounds
100,tag,has,lovetoys,s,2026-03-15 15:48:00Z,2.042e-6,2e-6,2.042e-6,562
100,tag,has,nata,s,2026-03-15 15:48:21Z,1.625e-6,1.625e-6,1.625e-6,1000
100,tag,has,tinyecs,s,2026-03-15 15:48:27Z,1.625e-6,1.625e-6,1.625e-6,1000
100,tag,has,concord,kb,2026-03-15 15:48:37Z,0.0001,0.0001,0.0001,100
100,tag,has,concord-no-serialize,kb,2026-03-15 15:49:06Z,0.0001,0.0001,0.0001,100
100,tag,has,ecs-lua,kb,2026-03-15 15:49:30Z,7.8125,7.8125,7.8125,100
100,tag,has,evolved,kb,2026-03-15 15:50:09Z,0.0001,0.0001,0.0001,100
100,tag,has,lovetoys,kb,2026-03-15 15:50:16Z,0.0001,0.0001,0.0001,336
100,tag,has,nata,kb,2026-03-15 15:50:38Z,0.0001,0.0001,0.0001,100
100,tag,has,tinyecs,kb,2026-03-15 15:50:44Z,0.0001,0.0001,0.0001,151
100,tag,add,concord,s,2026-03-15 15:50:48Z,0.000089875,0.00008975,0.00009,423
100,tag,add,concord-no-serialize,s,2026-03-15 15:51:17Z,0.000089521,0.000089333,0.000089708,478
100,tag,add,ecs-lua-batch,s,2026-03-15 15:51:43Z,0.000140417,0.000140042,0.00014075,375
100,tag,add,ecs-lua-nobatch,s,2026-03-15 15:52:15Z,0.0001533125,0.000153042,0.000153583,342
100,tag,add,evolved-batch,s,2026-03-15 15:52:48Z,5.417e-6,5.417e-6,5.417e-6,1000
100,tag,add,evolved-nobatch,s,2026-03-15 15:52:56Z,0.000061,0.000060958,0.000061,1000
100,tag,add,lovetoys-batch,s,2026-03-15 15:53:05Z,0.000123542,0.000123458,0.000123667,531
100,tag,add,lovetoys-nobatch,s,2026-03-15 15:53:28Z,0.000108625,0.000108583,0.000108667,551
100,tag,add,nata,s,2026-03-15 15:53:50Z,0.000020417,0.000020375,0.000020417,1000
100,tag,add,tinyecs,s,2026-03-15 15:53:56Z,0.000011458,0.000011417,0.000011458,1000
100,tag,add,concord,kb,2026-03-15 15:54:10Z,28.8359,28.8359,28.8359,100
100,tag,add,concord-no-serialize,kb,2026-03-15 15:54:41Z,28.8359,28.8359,28.8359,100
100,tag,add,ecs-lua-batch,kb,2026-03-15 15:55:06Z,57.9375,57.9375,57.9375,100
100,tag,add,ecs-lua-nobatch,kb,2026-03-15 15:55:45Z,59.5,59.5,59.5,100
100,tag,add,evolved-batch,kb,2026-03-15 15:56:24Z,0.3984,0.3984,0.3984,100
100,tag,add,evolved-nobatch,kb,2026-03-15 15:56:31Z,0.0001,0.0001,0.0001,593
100,tag,add,lovetoys-batch,kb,2026-03-15 15:56:40Z,39.8438,39.8438,39.8438,313
100,tag,add,lovetoys-nobatch,kb,2026-03-15 15:57:03Z,32.0313,32.0313,32.0313,100
100,tag,add,nata,kb,2026-03-15 15:57:26Z,0.0001,0.0001,0.0001,100
100,tag,add,tinyecs,kb,2026-03-15 15:57:32Z,2.125,2.125,2.125,144
100,tag,remove,concord,s,2026-03-15 15:57:36Z,0.00006125,0.000061167,0.000061354,426
100,tag,remove,concord-no-serialize,s,2026-03-15 15:58:05Z,0.000059479,0.00005925,0.0000596875,506
100,tag,remove,ecs-lua,s,2026-03-15 15:58:30Z,0.000103708,0.000103521,0.000103958,386
100,tag,remove,evolved-batch,s,2026-03-15 15:59:03Z,5.458e-6,5.458e-6,5.458e-6,153
100,tag,remove,evolved-nobatch,s,2026-03-15 15:59:10Z,0.000066708,0.000066667,0.000066708,1000
100,tag,remove,lovetoys,s,2026-03-15 15:59:19Z,0.000069125,0.000069083,0.000069208,564
100,tag,remove,nata,s,2026-03-15 15:59:41Z,0.000019917,0.000019917,0.000019958,1000
100,tag,remove,tinyecs,s,2026-03-15 15:59:47Z,0.000010958,0.000010917,0.000011,1000
100,tag,remove,concord,kb,2026-03-15 15:59:58Z,6.9609,6.9609,6.9609,100
100,tag,remove,concord-no-serialize,kb,2026-03-15 16:00:27Z,6.9609,6.9609,6.9609,100
100,tag,remove,ecs-lua,kb,2026-03-15 16:00:52Z,27.4688,27.4688,27.4688,100
100,tag,remove,evolved-batch,kb,2026-03-15 16:01:31Z,0.3984,0.3984,0.3984,100
100,tag,remove,evolved-nobatch,kb,2026-03-15 16:01:38Z,0.0001,0.0001,0.0001,573
100,tag,remove,lovetoys,kb,2026-03-15 16:01:47Z,21.875,21.875,21.875,315
100,tag,remove,nata,kb,2026-03-15 16:02:10Z,0.0001,0.0001,0.0001,100
100,tag,remove,tinyecs,kb,2026-03-15 16:02:16Z,2.125,2.125,2.125,144
100,system,throughput,concord,s,2026-03-15 16:02:20Z,6e-6,6e-6,6e-6,1000
100,system,throughput,ecs-lua,s,2026-03-15 16:02:28Z,0.0000505,0.000050458,0.000050542,1000
